CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbe
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,e4444590-1316-4ddd-91cb-541c5c054820
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,4150dadf-2f01-4c51-84d4-c22adf5b62f8
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,084348fa-552d-4828-ba91-9c0e95d26c57
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c264d7a550e1fb6560c52
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,3f7bb56e-b196-11eb-8529-0242ac130003
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,325733683423,5c8c25f37a550e1fb6560bca
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c26497a550e1fb6560c4b
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,31686868338,5f034e02-36b2-490c-943b-62f49393cb00
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,7a8a2e88-c8cf-462d-85fe-e821688afd11
