CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,128927813985,1e025bc1-ff97-409f-982d-39a810d5fa25
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,128927813985,bdc54b11-ece6-44b4-92a6-2bd3783fd0f2
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,5c8c26027a550e1fb6560be3
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,39042342264,d19cb41d-ac6c-4e95-848a-48f0fe9a9176
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,4ca5bab4-97a5-4ffc-80ab-da7aad20c8a2,3abf3147-ea53-4302-b237-caab4d764c77
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,277141866027,99d931f0-b2aa-4366-8a3f-bfc6d2e9286f
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,5c8c263b7a550e1fb6560c35
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,130312249203,ec6d20f7-dc81-4e64-98df-5b9b95abdb18
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,ba73fb7e-3bc5-11eb-adc1-0242ac120002
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,11275511485,5d211f33-640f-47d5-860d-20b8c4205597
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,1e025bc1-ff97-409f-982d-39a810d5fa25
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,7076b215-64de-443c-a49b-4eb2030019d8
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,d19cb41d-ac6c-4e95-848a-48f0fe9a9176
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,128927813985,5d211f33-640f-47d5-860d-20b8c4205597
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,130312249203,3861c363-849f-4c5f-a4a3-e48465e08e81
7599897b-51b3-40ec-9546-89556d91e7c1,single,project,299975258897,86d7328a-5d75-411d-8afb-316f8402e239
