Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,AWS,ACM should not have a certificate with a wildcard domain,ACM certificate domain name should not contain a wildcard,No Domain Names should include a wildcard ('*'),Yes ,,"Commodity insights - 188
DTS - 9
 SPDJII - 20","Commodity insights - 188
DTS - 9
SPDJII - 20",https://docs.securestate.vmware.com/rule-docs/acm-certificate-wildcard-domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,AWS,ACM Certificate Transparency logging should be enabled,ACM certificate transparency logging should be enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,AWS,ACM should not have certificates that are expired or expiring in the next 30 days,ACM certificate expires within 30 days,The expired certificate should be renewed or removed,Yes ,,,Commodity insights - 4,https://docs.securestate.vmware.com/rule-docs/acm-certificate-expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,Azure ,Active Directory user should not have administrator access,Not present in WIZ ,Not present in WIZ ,,,,Sustainable1 -1,https://docs.securestate.vmware.com/rule-docs/azure-active-directory-user-admin-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authorization,Azure ,Subscription should not have associated custom owner role,Not present in WIZ ,Not present in WIZ ,,,,Sustainable1 - 1,https://docs.securestate.vmware.com/rule-docs/azure-authorization-no-custom-subscription-owner-roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling group availability zone should match Elastic Load Balancer availability zone,,,,,,"Commodity insights - 10
Ratings - 50 ",https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-group-availability-zone-not-same-as-elb-availability-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling group should be configured with health checks,Auto Scaling Group associated with a load balancer does not use load balancer health checks,Auto Scaling Group should use 'ELB' health checks when associated with a load balancer,Yes ,,,Commodity insights - 9,https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-group-health-check-not-properly-configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling group should be configured with multiple availability zones,Auto Scaling Group should cover multiple Availability Zones,Auto Scaling Group should span across multiple Availability Zones,Yes ,,,"Commodity Insights - 148
DTS -10 
GRA- 2
Sustainable 1 - 1
MI -914
Ratings - 150
Kensho -57
",https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-group-not-configured-to-span-multi-availability-zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling launch configuration should be configured to use IMDSv2,Auto Scaling group should use a launch configuration that requires Instance Metadata Service Version 2 (IMDSv2),This rule checks whether EC2 instances within an Auto Scaling group are required to use Instance Metadata Service Version 2 (IMDSv2).,Yes ,,,"Commodity Insights - 235
Ratings - 354",https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-launch-configuration-has-v1-and-v2-metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling launch configuration should have an associated IAM role,,,,,,Commodity Insights -3,https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-launch-configuration-with-no-iam-role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling launch configuration should not be hosted on a public Amazon Machine Image,Auto Scaling Group does not use EC2 Launch Templates,,,,,Commodity Insights -32,https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-launch-configuration-with-public-ami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Scaling ,AWS,Auto Scaling launch configuration should restrict public access,Auto Scaling group instances using launch configurations should not have public IP addresses,"This rule checks whether Amazon EC2 instances, launched using an Auto Scaling group launch configuration, are assigned public IP addresses by default.",Yes ,,,"Commodity Insights -6
MI - 3",https://docs.securestate.vmware.com/rule-docs/aws-autoscaling-launch-configuration-with-public-ip-and-unrestricted-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudFormation ,AWS,CloudFormation stack should not be configured with admin privileges,,,,,,DTS -4,https://docs.securestate.vmware.com/rule-docs/cloudformation-stack-admin-privileges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudFormation ,AWS,CloudFormation stack should not be in a drifted state,,,,,,"Commodity Insights -16
DTS - 20 
GRA - 3 
MI - 11
SPDJI - 30
",https://docs.securestate.vmware.com/rule-docs/cloudformation-stack-drifted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution access logging should be enabled,CloudFront distribution logging should be enabled,It is recommended to enable the distribution logging feature to track all viewer requests from the Content Delivery Network (CDN). Combining distribution logging with other AWS services such as AWS Lambda and AWS WAF can block requests that are aimed at finding vulnerabilities in the network.,Yes ,,,"Commodity Insights - 54
Kensho - 1
Ratings - 554 
",https://docs.securestate.vmware.com/rule-docs/cloudfront-access-logging-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution field-level encryption should be enabled,CloudFront encrypted data in transit should use TLS version 1.2 or higher,This rule checks whether Cloudfront encrypted data protocol version is TLSv1.2 or higher and if HTTP is allowed.,Yes ,,,"Commodity Insights -52
DTS -6
Kensho -1 
Ratings -554
SPDJI -5",https://docs.securestate.vmware.com/rule-docs/cloudfront-fieldlevel-encryption-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution should be attached to WAF,CloudFront distribution should be associated with a WAF web ACL,CloudFront and WAF integration will be able to block any malicious requests made to CloudFront CDN based on the criteria defined in the WAF Web ACL associated with the CDN distribution.,Yes ,,,"Commodity Insights -7
DTS -5
MI - 2",https://docs.securestate.vmware.com/rule-docs/cloudfront-distribution-not-protected-by-waf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud front,AWS,CloudFront distribution should be configured to use HTTPS for communication with origin,CloudFront should enforce HTTPS traffic between the distribution and origins,"When HTTPS protocol policy is enforced between the origins and CloudFront, all communication is encrypted and is more secure compared to non-encrypted HTTP traffic which is prone to man-in-the-middle attacks.",Yes ,,,"Commodity Insights -1
Kensho -1 ",https://docs.securestate.vmware.com/rule-docs/cloudfront-distribution-using-insecure-origin-protocol-policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
