Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?
ACM,AWS,ACM should not have a certificate with a wildcard domain,ACM certificate domain name should not contain a wildcard
ACM,AWS,ACM Certificate Transparency logging should be enabled,ACM certificate transparency logging should be enabled
ACM,AWS,ACM should not have certificates that are expired or expiring in the next 30 days,ACM certificate expires within 30 days
AD,Azure ,Active Directory user should not have administrator access,Not present in WIZ 
Authorization,Azure ,Subscription should not have associated custom owner role,Not present in WIZ 
Auto Scaling ,AWS,Auto Scaling group availability zone should match Elastic Load Balancer availability zone,
Auto Scaling ,AWS,Auto Scaling group should be configured with health checks,Auto Scaling Group associated with a load balancer does not use load balancer health checks
Auto Scaling ,AWS,Auto Scaling group should be configured with multiple availability zones,Auto Scaling Group should cover multiple Availability Zones
Auto Scaling ,AWS,Auto Scaling launch configuration should be configured to use IMDSv2,Auto Scaling group should use a launch configuration that requires Instance Metadata Service Version 2 (IMDSv2)
Auto Scaling ,AWS,Auto Scaling launch configuration should have an associated IAM role,
Auto Scaling ,AWS,Auto Scaling launch configuration should not be hosted on a public Amazon Machine Image,Auto Scaling Group does not use EC2 Launch Templates
Auto Scaling ,AWS,Auto Scaling launch configuration should restrict public access,Auto Scaling group instances using launch configurations should not have public IP addresses
CloudFormation ,AWS,CloudFormation stack should not be configured with admin privileges,
CloudFormation ,AWS,CloudFormation stack should not be in a drifted state,
Cloud front,AWS,CloudFront distribution access logging should be enabled,CloudFront distribution logging should be enabled
Cloud front,AWS,CloudFront distribution field-level encryption should be enabled,CloudFront encrypted data in transit should use TLS version 1.2 or higher
Cloud front,AWS,CloudFront distribution should be attached to WAF,CloudFront distribution should be associated with a WAF web ACL
Cloud front,AWS,CloudFront distribution should be configured to use HTTPS for communication with origin,CloudFront should enforce HTTPS traffic between the distribution and origins
Cloud front,AWS,CloudFront distribution should use HTTPS to communicate with application viewers,CloudFront traffic between CloudFront and viewers should use HTTPS only
Cloud front,AWS,CloudFront distribution should use secure SSL protocols for HTTPS communication between CloudFront edge locations and origins,CloudFront distribution should use a custom SSL certificate
Cloud front,AWS,CloudFront distribution should use security policy with secure SSL protocol,CloudFront distribution with a custom certificate should use TLS version 1.2 or higher
Cloud Trail ,AWS,CloudTrail log file should be encrypted,CloudTrail logs should be encrypted with SSE-KMS
Cloud Trail ,AWS,CloudTrail log file validation should be enabled,CloudTrail log file validation should be enabled
Cloud Trail ,AWS,CloudTrail S3 bucket should have access logging enabled,S3 Bucket containing CloudTrail log files should have logging enabled / CloudTrail S3 Bucket has logging disabled
Cloud Trail ,AWS,CloudTrail should be enabled,
Cloud Trail ,AWS,CloudWatch monitoring should be configured for any changes in AWS organizations,CloudWatch Alarm should monitor AWS Organization(We have mutiple controls in WIZ for cloud watch Alarm)
Cloud Trail ,AWS,S3 bucket should have object level logging enabled for read events,S3 Bucket containing CloudTrail log files should have logging enabled/CloudTrail logging should be enabled in all regions - Account level
Cloud Trail ,AWS,S3 bucket should have object level logging enabled for write events,S3 Bucket containing CloudTrail log files should have logging enabled/CloudTrail logging should be enabled in all regions - Account level
EC2,AWS,EBS volume snapshots should be encrypted,EBS Volume Snapshot should be encrypted
EC2,AWS,EBS Volume is not encrypted and attached to an instance.  This excludes the root volume.,
EC2,AWS,EBS volume should be encrypted with a customer master key,EBS volume should be encrypted with a customer-managed key
EC2,AWS,EC2 instance should be configured to use IMDSv2,EC2 instance should use instance metadata service v2 (IMDSv2) / EC2 instance should use IMDSv2
